out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
thetao,mon,degC,Sea Water Potential Temperature,sea_water_potential_temperature,,CORE,"3D, potential temperature"
so,mon,0.001,Sea Water Salinity,sea_water_salinity,,CORE,"3D, practical salinity"
uo,mon,m s-1,Sea Water X Velocity,sea_water_x_velocity,,CORE,"3D, positive: east"
vo,mon,m s-1,Sea Water Y Velocity,sea_water_y_velocity,,CORE,"3D, postive: north"
zos,mon,m,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,,CORE,"2D, the GCM zostoga variable should be added in the monthly file"
zos,day,m,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,,CORE,"2D, the GCM zostoga variable should be added in the monthly file"
tos,mon,degC,Sea Surface Temperature,sea_surface_temperature,,CORE,2D
tos,day,degC,Sea Surface Temperature,sea_surface_temperature,,CORE,2D
sos,mon,0.001,Sea Surface Salinity,sea_surface_salinity,,CORE,2D
sos,day,0.001,Sea Surface Salinity,sea_surface_salinity,,CORE,2D
mlotst,mon,m,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,,CORE,"2D, positive: down, Med-CORDEX: Use a criteria of 0.011 or 0.01 kg/m³ with a 10m-depth reference"
mlotst,day,m,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,,CORE,"2D, positive: down, Med-CORDEX: Use a criteria of 0.011 or 0.01 kg/m³ with a 10m-depth reference"
areacello,fx,m2,Grid-Cell Area for Ocean Variables,cell_area,,CORE,Horizontal area of ocean grid cells
deptho,fx,m,Sea Floor Depth Below Geoid,sea_floor_depth_below_geoid,,CORE,
sftof,fx,%,Sea Area Percentage,sea_area_fraction,,CORE,Percentage of horizontal area occupied by ocean.
thkcello,fx,m,Ocean Model Cell Thickness,cell_thickness,,CORE,
volcello,fx,m3,Ocean Grid-Cell Volume,ocean_volume,,CORE,
thetao,day,degC,Sea Water Potential Temperature,sea_water_potential_temperature,,TIER1,"3D, potential temperature"
wo,mon,m/s,Sea Water Upward Velocity,upward_sea_water_velocity,,TIER1,"3D, positive: up"
rhop,mon,kg/m3,Sea Water Potential Density,sea_water_potential_density,,TIER1,"3D, sigma0"
hfds,mon,W/m²,Downward Heat Flux at the Sea Water Surface,surface_downward_heat_flux_in_sea_water,,TIER1,"2D, positive: down, This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"" ?)"
hfds,day,W/m²,Downward Heat Flux at the Sea Water Surface,surface_downward_heat_flux_in_sea_water,,TIER1,"2D, positive: down, This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"" ?)"
hfcorr,mon,W m-2,Heat Flux Correction,heat_flux_correction,,TIER1,"2D, positive: down, if this does not vary from one year to the next, report only a single year. Positive indicates correction adds heat to ocean"
hfcorr,day,W/m²,Heat Flux Correction,heat_flux_correction,,TIER1,"2D, positive: down, if this does not vary from one year to the next, report only a single year. Positive indicates correction adds heat to ocean"
rsntds,mon,W m-2,Net Downward Shortwave Radiation at Sea Water Surface,net_downward_shortwave_flux_at_sea_water_surface,,TIER1,"2D, positive: down, This is the flux into the surface of liquid sea water only. This excludes shortwave flux absorbed by sea ice, but include any light that passes through the ice and is absorbed by the ocean"
